Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Buislasser
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Controle pour magnétoscopie - niveau 2
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Preventie arbeidsongevallen en veilig omgaan met machines (tuinaanleg) 1d
2;23;kunst en menswetenschappen;talen;Anglais niveau intermédiaire
9;91;welzijn en gezondheid;gezondheid;Centrale basiscursus palliatieve zorg najaar 2012 Oostende
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;PREVENTIEADVISEUR
2;23;kunst en menswetenschappen;talen;Frans richtgraad 1
7;72;techniek, fabricage en constructie;fabricage en verwerking;Schoenmaker ontwerper
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Siergrassen en bamboes 1 volledige dag
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire regelgeving / legislation
2;21;kunst en menswetenschappen;kunst;Fotograaf
7;72;techniek, fabricage en constructie;fabricage en verwerking;LOSSEN TRAILERS
9;91;welzijn en gezondheid;gezondheid;Basisvorming voor verzorgenden en logistiek medewerkers te Wijgmaal
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Uitzetten van plannen 1 volledige dag
7;72;techniek, fabricage en constructie;fabricage en verwerking;Cost Deployment
10;100;diensten;diensten;Attestvernieuwing verreiker 1d
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Certificat cliniques psychothérapeutiques - cognitivo - comportementale
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;VCA aanvullend examen leidinggevende 0,5d
7;72;techniek, fabricage en constructie;fabricage en verwerking;SERVICE VATEN
4;41;handel, administratie en recht;handel en administratie;Training van sales ondersteunende diensten op de productievloer
4;41;handel, administratie en recht;handel en administratie;Logistiek Logistique Logistiek Medewerker
9;91;welzijn en gezondheid;gezondheid;Professionele bachelor in de verpleegkunde via route 33: opleidingsfase 3
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);AutoCAD - Formation de base
8;80;land- en bosbouw, visserij en dierengeneeskunde;land- en bosbouw, visserij en dierengeneeskunde;Parcours vaste planten en heesters basis 6 voll d
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Perfectionnement en sécurité alimentaire (pour opérateurs de production)
4;41;handel, administratie en recht;handel en administratie;Projectmanager Prince 2
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Solidworks 3D CAD
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Basiscursus Spuitgieten1
9;91;welzijn en gezondheid;gezondheid;Basiscursus Palliatieve Zorg 2/2014
4;41;handel, administratie en recht;handel en administratie;Ondernemingscommunicatie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;HVAC: principes de base
4;41;handel, administratie en recht;handel en administratie;Contrôle des circuits imprimés
9;91;welzijn en gezondheid;gezondheid;Bachelor in de intensieve zorg en de spoedgevallenzorg (bananba)
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Rugpreventie (heffen en tillen)
4;41;handel, administratie en recht;handel en administratie;Introductie nieuwe medewerker
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Métallurgie du soudage
9;91;welzijn en gezondheid;gezondheid;Spécialisation en soins péri-opératoires
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ELEKTROMECHANIEKER
7;72;techniek, fabricage en constructie;fabricage en verwerking;INPAKKEN
7;71;techniek, fabricage en constructie;techniek en technische beroepen;HVAC M4 : actionneurs
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Formation continue en santé mentale et psychiatrie : Module de formation 4 - Psychopathologie (32h)
2;21;kunst en menswetenschappen;kunst;Audiovisual Arts
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Teamdialoog kwaliteit (32 u)
9;91;welzijn en gezondheid;gezondheid;Bachelor in de vroedkunde
3;32;sociale wetenschappen, journalistiek en informatie;journalistiek en informatie;Postgraduaat digital content journalism
2;21;kunst en menswetenschappen;kunst;Voorbereidingsprogramma: audiovisuele en beeldende kunst
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Technicus zwaar rollend materieel
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Metrologie pour operateurs de production
9;92;welzijn en gezondheid;welzijn;Postgraduaat interdisciplinair postgraduaat in de ouderenzorg 
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Métrologie pour contrôleurs
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);HR SOFTWARE EN RAPPORTERING (16/0224)
7;81;techniek, fabricage en constructie;landbouw;Aanleg van kasseien 1d
9;91;welzijn en gezondheid;gezondheid;Navorming diabeteseducator
2;21;kunst en menswetenschappen;kunst;Vision artificielle
9;92;welzijn en gezondheid;welzijn;"Schakelprogramma naar de master in het sociaal werk voor de professionele bachelors sociaal werk, orthopedagogie, gezinswetenschappen en verpleegkunde; afstudeerrichting sociale verpleegkunde"
4;41;handel, administratie en recht;handel en administratie;Total Quality Management (TQM)
1;11;onderwijs;onderwijs;Practicien formateur (PF21)
2;23;kunst en menswetenschappen;talen;Anglais niveau 2
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);App-Ontwikkeling
4;41;handel, administratie en recht;handel en administratie;SCM: basics (systeemtraining voor eindgebruikers): Systeem training materials
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);CL 0311 - Programming with HTML5, CSS, Javascript and JQuery
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Sociale Vaardigheden
2;23;kunst en menswetenschappen;talen;Frans voor beginnelingen
10;101;diensten;persoonlijke diensten;Sommelier
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electronique remise à niveau
7;72;techniek, fabricage en constructie;fabricage en verwerking;Expertenopleiding lading zekeren
10;104;diensten;transportdiensten;Behendigheid met de tractor 1d
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;PICKING A47 (GEVAARLIJKE GOEDEREN)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Initiation au fraisage
9;91;welzijn en gezondheid;gezondheid;Postgraduaatsopleiding tot verpleegklundige gespecialiseerd in de cardiologie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mecanicien tuft 
9;91;welzijn en gezondheid;gezondheid;Trisomie 21 et troubles du développement apparantés : une approche intégrée de la personne
4;41;handel, administratie en recht;handel en administratie;Specialisation 2 Bis (SP2 BIS)  2 groepen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electricité véhicules industriels 1
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Schakelprogramma: master industriële wetenschappen: chemie
9;91;welzijn en gezondheid;gezondheid;Approfondisssement en soins palliatifs
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Aanvullende vorming voor preventieadviseurs niveau 1
9;91;welzijn en gezondheid;gezondheid;Permanente vorming Tilcoach
9;91;welzijn en gezondheid;gezondheid;Permanente vorming mondzorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Photonics (EM)
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Omgaan met verschillen te Peer, Hasselt en Genk
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Hydraulique maintenance
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Epuration des eaux
4;41;handel, administratie en recht;handel en administratie;Techniques administratives gestion-construction
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance Mecatronique / Mécatronique
4;41;handel, administratie en recht;handel en administratie;Permanente vorming voor leidinggevenden 2e jaar
7;72;techniek, fabricage en constructie;fabricage en verwerking;Manueel aanknopen van weefbomen
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Validation des mesures de maîtrise liées à la température
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Permanente vorming mentorschip
4;41;handel, administratie en recht;handel en administratie;Logistiek adviseur
9;91;welzijn en gezondheid;gezondheid;EduWond - Postgraduaat Stomatherapie en Wondzorg
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Chemie
9;91;welzijn en gezondheid;gezondheid;Bachelor in de verpleegkunde via Hogeschoolbrug A2 naar A1 (programma 150STP)
2;21;kunst en menswetenschappen;kunst;Musical
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Arbeidswelzijn Bien-être au travail Infomiddag : veilig laden en stuwen
9;91;welzijn en gezondheid;gezondheid;Bachelor in Vroedkunde
2;23;kunst en menswetenschappen;talen;NEDERLANDSE LES - INDIVIDUELE SESSIES
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Initiation à la maintenance industrielle
9;91;welzijn en gezondheid;gezondheid;Basisvorming voor polyvalent verzorgende - logistiek medewerker
4;41;handel, administratie en recht;handel en administratie;Leiding geven voor hulpmonitoren
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Le Pain: Bases pour opérateur de production
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Veiligheid en welzijn arbeiders (32 u)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Solidworks simulation
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Diocesaan diploma voor het vak R.K. godsdienst
9;92;welzijn en gezondheid;welzijn;Beroepsopleiding Maatschappelijk Werk - Indicatieteller 2017 - 2018 (modulair systeem)
4;41;handel, administratie en recht;handel en administratie;Basisopleiding payroll
4;41;handel, administratie en recht;handel en administratie;Postgraduaat Casemanagement in de eerste lijn
2;21;kunst en menswetenschappen;kunst;Florist
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Opleiding automatisatie
2;23;kunst en menswetenschappen;talen;Tolken
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniques frigorifiques bases
9;92;welzijn en gezondheid;welzijn;Bij- en nascholing 'Voedingsbeleid in de geriatrische instelling'
7;73;techniek, fabricage en constructie;architectuur en constructie;Monteur beursstanden
8;83;land- en bosbouw, visserij en dierengeneeskunde;visserij;Vishandelaar-bereider
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;VCA basis 1 voll d
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;BeSaCC leidinggevenden + VCA aanvullend examen leidinggevenden 2d
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Adobe Illustrator - Initiation
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Diagnostic du dysfonctionnement
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Formation de chefs de production, analystes du travail, initiation à l’informatique appliquée à la confection
2;23;kunst en menswetenschappen;talen;Espagnol fort
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Fanuc
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Gebruik van bestrijdingsmiddelen en meststoffen in de sierteelt 1 volledige dag
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Postgraduaat in de psychodynamische kinderpsychotherapie
4;41;handel, administratie en recht;handel en administratie;Militantenvorming transport en logistiek – Gent Rijdend Personeel
9;92;welzijn en gezondheid;welzijn;Postgraduaat Mindfulness
9;91;welzijn en gezondheid;gezondheid;Médecine de catastrophe organisations des secours dans l'urgence collective
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van de kettingzaag 1d
9;91;welzijn en gezondheid;gezondheid;Opfriscursus helpsters/verzorgenden, Hasselt
9;92;welzijn en gezondheid;welzijn;Basisopleiding “Welzijn op het werk” – niveau 3
9;92;welzijn en gezondheid;welzijn;Sophrologie pratique
10;103;diensten;veiligheidsdiensten;Beveiligd vervoer - bekwaamheidsattest bewakingsagent
7;71;techniek, fabricage en constructie;techniek en technische beroepen;A07 Pistoolspuiter - vervolmaking
9;91;welzijn en gezondheid;gezondheid;Formation à la Therapie du Développement - troisième année
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Vierzijdige schaaf- en freesbedienaar
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Schakelprogramma in de ergotherapeutische wetenschap en master in de ergotherapeutische wetenschap
4;41;handel, administratie en recht;handel en administratie;GESTION ET COMMUNICATION - Gestion de projet
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;On the jobopleid verzending
9;90;welzijn en gezondheid;welzijn en gezondheid;Bachelor in de logopedie en de audiologie - afstudeerrichting audiologie
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ VERHOGING VAN UITZENDKRACHTEN NAAR TIJDELIJK CONTRACT (16/1698)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bedienaar drooginstallatie
7;72;techniek, fabricage en constructie;fabricage en verwerking;FULL CASE PICKING KITS/UITBUFFEREN
